Country/market,Sales,Population_N,console
Canada,"$ 92,04",37700000,
Canada,"$ 0,91",37700000,2600
Canada,$ 0,37700000,3Do
Canada,"$ 12,63",37700000,3Ds
Canada,"$ 0,27",37700000,Dc
Canada,"$ 60,53",37700000,Ds
Canada,"$ 8,2",37700000,Gb
Canada,"$ 7,73",37700000,Gba
Canada,"$ 5,18",37700000,Gc
Canada,"$ 0,89",37700000,Gen
Canada,$ 0,37700000,Gg
Canada,"$ 4,38",37700000,N64
Canada,"$ 5,31",37700000,Nes
Canada,$ 0,37700000,Ng
Canada,"$ 24,86",37700000,Pc
Canada,$ 0,37700000,Pcfx
Canada,"$ 40,91",37700000,Ps
Canada,"$ 193,44",37700000,Ps2
Canada,"$ 141,93",37700000,Ps3
Canada,"$ 43,36",37700000,Ps4
Canada,"$ 42,19",37700000,Psp
Canada,"$ 8,45",37700000,Psv
Canada,"$ 0,07",37700000,Sat
Canada,"$ 0,05",37700000,Scd
Canada,"$ 3,22",37700000,Snes
Canada,$ 0,37700000,Tg16
Canada,"$ 80,61",37700000,Wii
Canada,"$ 6,45",37700000,Wiiu
Canada,$ 0,37700000,Ws
Canada,"$ 85,54",37700000,X360
Canada,"$ 8,72",37700000,Xb
Canada,"$ 11,92",37700000,Xone
China,"$ 92,04",1439300000,
China,"$ 0,91",1439300000,2600
China,$ 0,1439300000,3Do
China,"$ 12,63",1439300000,3Ds
China,"$ 0,27",1439300000,Dc
China,"$ 60,53",1439300000,Ds
China,"$ 8,2",1439300000,Gb
China,"$ 7,73",1439300000,Gba
China,"$ 5,18",1439300000,Gc
China,"$ 0,89",1439300000,Gen
China,$ 0,1439300000,Gg
China,"$ 4,38",1439300000,N64
China,"$ 5,31",1439300000,Nes
China,$ 0,1439300000,Ng
China,"$ 24,86",1439300000,Pc
China,$ 0,1439300000,Pcfx
China,"$ 40,91",1439300000,Ps
China,"$ 193,44",1439300000,Ps2
China,"$ 141,93",1439300000,Ps3
China,"$ 43,36",1439300000,Ps4
China,"$ 42,19",1439300000,Psp
China,"$ 8,45",1439300000,Psv
China,"$ 0,07",1439300000,Sat
China,"$ 0,05",1439300000,Scd
China,"$ 3,22",1439300000,Snes
China,$ 0,1439300000,Tg16
China,"$ 80,61",1439300000,Wii
China,"$ 6,45",1439300000,Wiiu
China,$ 0,1439300000,Ws
China,"$ 85,54",1439300000,X360
China,"$ 8,72",1439300000,Xb
China,"$ 11,92",1439300000,Xone
France,"$ 257,17",65300000,
France,"$ 5,47",65300000,2600
France,$ 0,65300000,3Do
France,"$ 58,52",65300000,3Ds
France,"$ 1,69",65300000,Dc
France,"$ 194,65",65300000,Ds
France,"$ 47,82",65300000,Gb
France,"$ 75,25",65300000,Gba
France,"$ 38,71",65300000,Gc
France,"$ 5,52",65300000,Gen
France,$ 0,65300000,Gg
France,"$ 41,06",65300000,N64
France,"$ 21,15",65300000,Nes
France,$ 0,65300000,Ng
France,"$ 139,68",65300000,Pc
France,$ 0,65300000,Pcfx
France,"$ 213,6",65300000,Ps
France,"$ 339,29",65300000,Ps2
France,"$ 343,71",65300000,Ps3
France,"$ 123,7",65300000,Ps4
France,"$ 68,25",65300000,Psp
France,"$ 16,33",65300000,Psv
France,"$ 0,54",65300000,Sat
France,"$ 0,36",65300000,Scd
France,"$ 19,04",65300000,Snes
France,$ 0,65300000,Tg16
France,"$ 268,38",65300000,Wii
France,"$ 24,23",65300000,Wiiu
France,$ 0,65300000,Ws
France,"$ 280,58",65300000,X360
France,"$ 60,95",65300000,Xb
France,"$ 45,65",65300000,Xone
Germany,"$ 257,17",83800000,
Germany,"$ 5,47",83800000,2600
Germany,$ 0,83800000,3Do
